"Data Source","World Development Indicators",
"Last Updated Date","2024-03-28",
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4848484848485","51.3058419243986","49.2602996254682","52.136546184739","55.6026296566837","56.9757847533632","58.3124708624709","54.9057246003094","53.7517040358744","53.3548223350254","52.6743319838057","49.6272428884026","51.620026836632","55.0936770428016","51.8345420279829","54.2204840664361","57.9092747102543","60.511730109102","56.6208316991428","57.4467898753702","56.1965622017724","53.5449985374437","58.7834892967479","69.2036602359509","71.8270449566809","66.8944344576015","73.0407417036104","67.4196284097139","69.5869442457704","71.74178162623","78.0121433360789","76.5954264225768","74.6354680894964","75.1733986128111","104.736610628485","96.5938834263028","87.3723634569324","",
"Africa Eastern and Southern","AFE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","42.6605964812143","40.6259693205287","39.8259612696274","41.7114905596893","41.8414581048709","42.635054614858","41.9387537271833","43.4563726259962","44.4347266963837","42.7546080270378","44.4226218826539","42.5090122284145","42.4224110306596","43.7290294425822","42.3867278261734","40.6801564786939","39.2410159994793","38.8339380599869","38.9706000490659","37.3225381891171","37.0835123306366","35.4916932355698","37.5263831618758","37.6899912085885","38.1171756326405","36.0171499524808","36.6003017779728","38.2174256329653","36.1258657921537","36.9077868075141","37.500372556046","37.8402807700508","39.3507322441393","39.7820752082049","40.3539578664076","35.8580439099167","39.6155256016215","41.4338996336483","42.6574282265803","43.3791861872802","45.2374351164106","47.0916666607868","49.4360159089835","49.1258057729438","49.9078607980463","49.4065597713215","48.2383119246586","47.1624261282393","44.8661641707102","44.7250924447205","46.2153549251986","44.6525379824471","44.9267803544107","46.407726302904","49.2103163013721","53.4924551767681","51.9353669506858","49.6053668264602","",
"Afghanistan","AFG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","13.4504123894373","14.5344127789343","17.1951216017252","14.464495500823","16.6888879617284","15.5739518818132","11.2079367747921","9.34262901059774","13.2904527518499","15.2870658843754","13.2033209985099","14.0364241712093","18.3537613659268","18.1839750816708","16.5922684859783","16.9945543576289","19.5465216541456","21.6490588241804","22.5257231624509","24.5423892365334","28.8571609170968","31.6095525701839","","","","","","","","","","","","","","","","","","","","","","","","","23.3438645266527","23.833664421484","29.5122807993009","33.0609569578245","35.3505617153186","36.6242278045429","32.9136922701029","32.6820168994225","34.2095967895183","33.9280526549766","37.2228186582708","36.8612612972957","36.6074938854128","34.9592143142587","37.5081887366299","","","",
"Africa Western and Central","AFW","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","11.280303029235","11.4464602340514","11.8150880399577","11.8468701047014","12.9621374834064","12.5605753919924","12.6920681654605","13.123696142872","14.1014700484689","14.4897688359621","12.8576256230678","13.0730566519996","13.6265939753508","14.2547153786293","15.4524236088072","18.3177542800638","20.4901576952284","22.7872882714135","21.8188325537408","22.1907362911789","25.3955904404432","12.9609189054012","13.2582381746952","14.3046055290782","15.4741316790912","15.4903513301171","16.6052129343646","16.550764615785","16.9675950903757","16.2502835652078","16.5356983107319","16.901373026913","17.5430319305617","16.8768984978389","16.4635065925535","12.6957943191299","11.022065960173","11.4224846263051","12.158546653581","14.5686937278329","15.477066050432","15.8667484381917","15.2876541155157","15.0789381121047","14.3094937157013","13.7368347054952","13.9770623123355","19.0231650850842","21.764909031364","23.4683016988958","21.8148666812425","22.8242942148955","24.3867991157642","24.5724486196001","23.2402587786707","23.7131515008222","27.0802957165971","25.5149795116059","26.0996467530257","25.7878037909871","28.5707361430403","29.6124572188255","30.1029225060608","",
"Angola","AGO","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4871300806511","27.5775740909858","22.6154835724704","24.4370429180687","22.8493546482441","17.2805558862873","21.1357136613316","16.0498827420693","13.508367118858","13.553648470679","13.2998188926253","16.2733257364948","20.4468711883162","31.5205041653311","45.6081681117929","34.7747524653276","34.9788715890949","31.5177312017641","33.3315474060548","35.6755532005176","40.9446599162018","39.1623080560863","32.1865210912766","30.6464405237236","33.6927339334333","40.0699484385323","25.8629609992467","21.2749582348848","",
"Albania","ALB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7649557954901","48.4436391664471","46.2233706883918","59.9252695246949","62.2390091672556","66.0222149082269","65.4631703175784","69.8224660901217","66.8522792044418","65.4423141253721","68.2203666875648","71.4176324482325","76.3656780122259","78.4658756659569","75.4805325555486","76.1817094662639","79.0774778263132","82.2797364957128","84.2887701256967","85.106288419788","85.6508075295366","84.7921679249979","85.8049588483096","81.7033945876204","77.2351154908765","77.9394365407651","88.4401190006595","85.2458669679549","77.5973064918832","",
"Andorra","AND","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","22.4437449781611","22.5465751902672","22.3037750706038","23.2970696624539","24.2807669506228","30.0641448878567","31.6756739509003","33.8773772662064","32.4091374562576","32.6851030739493","31.3233276920919","29.5346953082745","32.0726997406867","32.3210436651615","21.4761453507795","25.7465408290945","27.0519119833717","29.9211445588593","34.5999553309015","30.7762381055216","28.254941621486","31.2379460442596","38.6274446468866","46.0809846920673","50.2934136191557","55.2569604429167","61.7627828539883","62.2168981367206","63.2973781689178","58.2729786330456","50.969943780562","51.3960274888797","53.5448404988011","55.5207045046042","55.2643430413392","54.0887368507715","52.0097858276155","52.6258454256405","57.6291732188752","57.4036448419129","54.5866250248465","61.6090739768506","65.3044417668005","64.3702304564844","60.5539223282899","56.7525404351436","56.7618200090059","60.695057832749","58.2787393539987","72.2306286042175","66.7592132995425","61.1286360773572","60.082471269737","64.7663057556802","69.3312596533598","79.8191237591789","84.2217462228522","80.7855634943321","","","","","","",
"United Arab Emirates","ARE","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","","","","","","","","","","","","","","","","15.1256152144462","22.0584324103698","16.0065717640757","19.0955117827924","15.2940485282886","14.5551169898168","16.0646703809434","19.6587244087127","23.1284087799352","30.5385171719541","33.4682937956204","41.7923551646376","41.1322986621147","43.6713775081101","41.5115163778265","31.1661517797179","35.1094859655056","34.9105026316847","33.5039177277179","33.9067287066681","33.7114918477698","32.1912026066351","32.7571194604344","35.5448088257519","35.501376859728","33.1356885424306","40.8091994981709","42.4319365236796","43.1601490818154","44.9240631072879","48.0353567361898","48.1623050962153","58.6521072174004","58.1507270928829","78.1994209488793","70.1952019521165","61.363916994341","60.1534597066408","70.9553810235672","74.0022718295063","87.2764379134796","90.3667774468121","88.9808295892354","83.4278792396838","92.0588982126911","115.206585783272","102.510643139374","91.4849066356367","",
"Argentina","ARG","Broad money (% of GDP)","FM.LBL.BMNY.GD.ZS","21.1392510247476","16.6059988579773","14.3101166943145","16.0176179468354","15.967859713929","15.1288752365402","15.9503697860632","18.4266744554408","20.4152214276336","20.8780873604572","22.9961680392878","18.0216983735412","22.6729620530187","23.2609282241113","26.0763792583239","22.1623210978758","19.0543200466971","22.4723059735341","24.5409673809534","25.867690551581","24.9557344126068","23.4115575468308","21.2428783892003","21.0259384418668","21.9747762099833","17.3033628652215","19.5847407377731","22.0526189016942","25.1476054816229","20.1046563194961","11.4810946772859","10.5567775609245","13.6914371927742","19.2186233404674","20.7702889993785","20.1412713745498","22.6904801492561","26.4701846280975","28.650684859336","31.44367758524","31.8486210586349","27.1392515912455","27.9270695501951","30.1040572265399","28.3256464652642","28.6633102803828","28.0496119297007","27.8643164271472","23.4936731580619","25.3227384656624","25.3131020043081","24.3288225735623","27.094656616163","27.1268661534912","25.7525433121082","27.64080836914","28.3138847636905","28.5107172747991","30.3837976359854","26.1446019944308","34.4746398729438","30.6137381361159","31.8233056413743","",
